,Tweet,anger,disgust,fear,happiness,like,sadness,surprise
3896,"sudah 3 tahun belakangan ini tahun baru selalu ditemani dengan satu orang yang sama, bersyukur.",0,0,0,1,0,0,0
2,"""Ahaha! Siapa yang akan menaruh katak di dalam cokelat?"" -Katase Mayoi-",0,0,0,1,0,0,1
315,Ya allah benci banget deh ngeliat ibu yang suka mukul anak nya... rasanya pengen ngelempar pake sendal !!,0,1,0,0,0,0,0
668,Mengawali tahun baru 2020 dengan resolusi yang biasa2 sajaaa.,0,0,0,1,0,0,0
1960,"Makanya ka, hati-hati sama orang yang punya hati karena terkadang mereka tak berhati-hati :(",0,0,0,0,0,1,0
1235,Kayak favorit emak gue emang suka yang matcha matcha :(,0,0,0,0,1,0,0
2131,"jing rumah temen temen gue yang dicipinang pada banjir,vespanya udah pada kena air mesinnya nangis bgtt",0,0,0,0,0,1,0
573,Daerah metland puri kering dari jam 9 pagi .. kenapa masih dimatiin sampai malam ? Kerjanya yang bener donk ...,1,0,0,0,0,0,0
4077,"Dibeberapa daerah hujan terus mengguyur, akhirnya berdampak banjir. Semoga diberikan kesabaran bagi yang terkena dampaknya ~",0,0,1,0,0,0,0
412,"Banyak yang banjir ih, sabar ya semoga cepet surut seyeng2",0,0,0,0,0,1,0
3915,Stay safe ya teman-teman yang di Jakarta. Semoga segera surut.,0,0,0,0,0,1,0
2154,"Terima kasih, untuk aku yang masih bisa bertahan dari liku kehidupan. Bandung",0,0,0,0,1,0,0
111,"doaku pagi ini,semoga yang belom tercapai di 2019 bisa tercapai di 2020 semangat ",0,0,0,1,0,0,0
3255,Buat saudara saudaraku yang di jakarta tetap semangat dan bersabar karena musibah banjir. Semoga banjirnya cepet surut.,0,0,1,0,0,0,0
4172,2019 tahun yang agak susah untuk aku dan harapan untuk 2020 tahun yang lebih baik dan tahun untuk pulih segalanyaa,0,0,0,1,0,1,0
73,Stay safe untuk teman-teman di sebagian jabodetabek yang terkena banjir.,0,0,0,0,0,1,0
1478,"Apakah engkau mengantuk saat harus belajar, tapi bermata lebar saat menonton yang tidak ada gunanya?",1,0,0,0,0,0,0
3501,"iyaaa alhamdulillah huhu, aku mantengin yang lain pada banjir, semoga cepet ditolong semua",0,0,0,0,0,1,0
2496,"Aamiin allahuma aamiin , semoga di 2020 selalu dpt hal yang baik baik aja ya kaakk",0,0,0,1,1,0,0
1536,kangen yang kangen gua aja lah sekarang mah. pasrah aja gua :(,0,0,0,0,0,1,0
3555,"Alhamdulillah banget rumah posisinya dibagian atas, yg rumahnya kebanjiran yang sabar yaa, amankan alat2 & surat2 penting",0,0,0,1,0,0,0
1600,Trimakasih akuu sudah berjuanggggg di 2019 yang BENER BENER DAH AH ASTAGHFIRULLAHAL ADZIMMMM,0,0,0,1,0,0,0
2367,"Selamat pagi dari saya yang baru saja melihat khs, Alhamdulillah bagus semua kecuali 1 mk SUBHANALLAH  ingin menangis",0,0,0,1,0,0,0
2000,Hal yang paling sakit adalah mencintai seseorang yang tidak akan menjadi milikmu selamanya.,0,0,0,0,0,1,0
200,"Pada bilang daerahnya hujan terus, ada yang sampe banjir. Lah aku? Ini matahari serasa neraka bocor ",1,0,0,0,0,0,0
2732,"Tahun Baru semangat Baru, dengan harapan dan cita-cita yang masih tetap sama.",0,0,0,1,0,0,0
3497,ngeconvert video yang 1 menit jadi 15 menit diulang ulang aja lagunya biar makin kangen,0,0,0,0,0,1,0
93,"ingatlah, kematian datang secara tiba-tiba. ada baiknya kita selalu berada di jalan yang benar",0,0,1,0,0,0,0
4131,Sejujurnya engga kalo dari aku. Aku gak suka pacaran sama yang modelnya fakboi atau badboi ._.,0,0,0,0,1,0,0
426,kalo kakak yang beliin aku mau minta yang paling mahal terus yang paling bagus juga!,0,0,0,1,0,0,0
3569,"Happy new year juga, odek semoga kita menjadi pribadi yang lebih baik lagi yaa",0,0,0,1,0,0,0
2914,Cehh Steffy_ai senyuman mu manis seperti apel merah yang manis :),0,0,0,0,1,0,0
2850,Semoga tuhan membalas semua yang terjadi kepadaku suatu saat nanti,0,0,0,1,0,0,0
3673,hati hati ya temen temenku di jakarta dan sekitarnya yang terkena banjir,0,0,0,0,0,1,0
2383,"Bagusss grafiknya juga keren, skinnya lucu lucu ada yang khusus buat wibu seperti aq",0,0,0,1,1,0,0
3855,Moots kalian yang di jabodetabek gimana kabar? Kena banjir kah? Please stay safe ya,0,0,1,0,0,1,0
3688,"Semoga meningkat yang positif, menurun yang negatif. Aamiin.",0,0,0,1,0,0,0
2425,"#Dispacth ada yang TEUME? mutualan yuk!! RT aja, jgn lupa fb tp",0,0,0,1,0,0,0
68,Aku tidak suka dengan orang yang membohongi dirinya sendiri ditengah turunnya salju (Naruto),0,1,0,0,0,0,0
3001,"Nikmati penyakit yang dikasih allah, karna Allah sedang menggugurkan dosa-dosa mu ditahun 2019 yang lalu #rebahanpertamadi2020",0,0,0,1,0,0,0
2943,"Selamat tahun baru 2020, doa yang terbaik di tahun ini:)",0,0,0,1,0,0,0
2715,"wahh semoga ya tercapai cita citanya kuliah yang kamu pengenin, aku gajadinyesatin deh ndukung aja hehe",0,0,0,1,0,0,0
457,Makasih awal taun dikasih yang indah2 AAA astaga kurang baik apalagi tuhan ama meanie stan,0,0,0,1,0,0,0
4177,"Selamat hari pertama di tahun 2020! Untuk yang rumahnya kebanjiran, be safe!",0,0,0,0,1,0,0
627,"Sumpah pacar aku alaaaay ngga pantes cewe lain milikin dia soalnya alay. Aku aja yang ambil, udah.",0,0,0,0,0,0,1
3393,Selamat tahun baru 2020 semuanya.. Semoga semakin menjadi pribadi yang baik lagi ya kita kedepannya .. ,0,0,0,1,0,0,0
1740,"Alhamdulillah rmh ku tidak,tapi kasian sama rmh tetangga yang sampai masuk kedalam:'(",0,0,0,0,0,1,0
3477,"Kan katanya semua baka indah pada waktunya,terus gue kapan dong dapet yang katanya indah pada waktunya? Hahahahahahahaahhahhahahhaahahahahahahahahahahahahahaahahahahahaahahahahahhaha",1,0,0,0,0,0,0
1086,Belum lagi orang2 yang rumahnya ditinggal liburan. Huhuhu semoga cepet surut ya.,0,0,0,0,0,1,0
154,"Terima kasih Mita ku tersayang, semoga apa yang kamu semogakan bisa tersemogakan juga ya:)",0,0,0,1,0,0,0
1818,"Nambel Maman yang dilepas Dim. Musim depan semoga lebih seru lagi, semoga gada yang ""ngatur""",0,0,0,1,0,0,0
3186,"Dan jugaaa, maaf untuk semuanyaa karna sangat banyak kesalahan yang aku buat di 2019 ",0,0,0,0,0,1,0
1691,"Entahlah, sihir apa yang kau gunakan.Fokusku hanya tertuju padamu~ SJ ♡♡ :^)",0,0,0,0,1,0,0
1933,Resolusi 2020 : semua yang direncanakan di ridhoi Allah swt ,0,0,0,1,0,0,0
4190,"ini enak banget gengs padahal yang nyanyi bukan exo, melainkan kloningannya :)",0,0,0,0,1,0,0
533,Selamat anda berada di level yang sama dengan saya sekarang,0,0,0,1,0,0,0
1822,Gue capek dengan situasi seperti ini ! Semoga di 2020 gue bisa ditempat yang lebih baik,1,0,0,0,0,1,0
670,Kota mana yang di guyur hujan dengan intensitas tinggi selama 14 jam ga akan banjir?,0,0,1,0,0,0,0
1570,Betul. Mungkin karena jarak tahun ke tahun yang cukup lama. Kalau tiap pergantian bulan dirayain kan lucu~,0,0,0,1,0,0,0
3262,Aku terlalu egois buat kamu yang terlalu sabar :’),0,0,0,0,0,1,0
968,"atduh dilema fangirl ini susah ini kalo udah giniiii, yang kepingiin banget yg mana deh?",0,0,0,0,0,1,0
442,"Hadewww, tadi ikan sekarang tikus...hati-hati dengan hewan lain yang mungkin ikut terbawa air.",0,0,1,0,0,0,0
1229,Happy new year semuanya!  Semoga tahun ini menjadi tahun yang baik ya! ,0,0,0,1,0,0,0
741,Sesaat lagi kita akan menyaksikan tiap orang main salah-salahan karena banjir yang melanda. Waktu dan tempat dipersilahkan..,1,0,0,0,0,0,0
2256,"Kita ambil yang baik,insyaAllah permulaan yang baik 2020 :)",0,0,0,1,0,0,0
2335,"Apa cuman aku yang mau nangis baca ini, seolah olah nct itu rendah banget ",0,0,0,0,0,1,0
3938,Bersyukur Pamulang gak kena banjir dan buat yang terkena bencana banjir tetap tenang dan selalu berdoa guys!,0,0,0,0,0,1,0
1132,Selamat datang 2020 semoga tahun ini berpihak yang baik baik yaa,0,0,0,1,0,0,0
1639,"Hbd Adel, i wish you all the best. Semoga yang tersemogakan disemogakan di tahun ini ya",0,0,0,1,0,0,0
9,"Tgl baru, bulan baru tahun baru, mari kita berebut mengejar kebaikan yang baru,",0,0,0,1,0,0,0
2515,Kebahagiaan terbesar dalam hidup ini adalah kenyataan bahwa kita dicintai oleh orang yang kita cintai,0,0,0,0,1,0,0
1308,"Harusnya jangan berdoa hujan tad, karena Jakarta gak bisa nanganin hujan yang besaar.. Jad banjiir kan dimana2..",0,0,1,0,0,0,0
2889,cinta banget sama yang set semuanya serba merah waktu wayv perform semalem ,0,0,0,0,1,0,0
1858,Racun yang paling kuat di dalam cinta adalah harapan palsu -Dating Agency (ง▔▔๔_๖▔▔) ว,0,0,0,0,0,1,0
2776,ren adalah akun yang paling gua cinta. adem banget disana,0,0,0,0,1,0,0
2284,"Apa yang paling menyiksa dari lagi diare tapi gak punya aer, mati listrik dari pagi sedih bgt w",0,0,0,0,0,1,0
1127,Happy Birthday sayangggggggg!!! takmo cedih cedih couse awak ada kawan ramai yang sayang awak! loveyou ,0,0,0,1,0,0,0
3781,"perjalanan yang tak gampang kita tempuh,smga jdi berkat nnti.:))",0,0,0,1,0,0,0
1092,bismillah semoga ada yang mau ngambil orderan gofood aku :( laper banget huhuh,0,0,0,0,0,1,0
872,"Tak ada Seorang pun yang Hina Didunia ini, Tidak lain adalah orang2 itulah yang Memberikan Cap Hina",0,0,0,0,1,0,0
1697,"#. Biasinnya yang ini, cantik banget mirip Joy RV sedikit.",0,0,0,0,1,0,0
2263,"Halo Januari selamat datang, ada yang bisa saya bantu?",0,0,0,1,0,0,0
2248,"Ketika hati kecilmu mengakui bahwa kamu menyimpan perasaan khusus terhadap seseorang, yang seharusnya nggak kamu sukai.",0,1,0,0,0,0,0
3148,"Halo, kak! Ada yang bisa jo bantu? ヾ(＠＾▽＾＠)ﾉ",0,0,0,1,0,0,0
15,Buset ini ngapa banyak bgt yang nge blok gua si:( sad,0,0,0,0,0,1,0
531,"Iya, aku. Kamu yang paling cantik di satu semesta ini, semestaku.",0,0,0,0,1,0,0
1726,"Gak ah, masa nanti aku saingan sama kamu? Udah taro aja yang jadi babynya. ",0,0,0,0,0,0,1
3750,"awal tahun yang buruk, pertanda apakah ini???",0,0,0,0,0,1,0
400,Banjir dimana-mana.. bahkan ada yang terjebak didalem rumah sampe sekarang belom dievakuasi. Stay safe everyone ,0,0,1,0,0,0,0
2242,Stay safe ya kalian yang rumahnya kena banjirAku disini cuma bisa bantu doa aja biar cepet surut aminn,0,0,0,0,0,1,0
3217,Semoga tahun ini menjadi tahun yang baik buat semua dan semoga aku bs dapet kerja,0,0,0,1,0,0,0
3192,Yes!!! Menikmati hujan yang terus turun tanpa henti,0,0,0,1,0,0,1
1436,"Saat cinta mulai muncul, kau takkan peduli lagi dengan apa kekurangan fisik yang dimiliki oleh orang tersebut :*",0,0,0,0,0,1,0
1119,Happy new year 2020 semoga kedepanya ada orang yang beruntung memiliki saya,0,0,0,1,0,0,0
3580,Positif 2020 yang ga ke kejar di 2019 harus tercapai. Happy new year everyone!,0,0,0,1,0,0,0
257,Apa yg membuat ku bersemangat sekedar berbincang ketika setiap kata yang aku ucapkan hanya untuk kamu patahkan.,0,0,0,0,1,0,0
3428,"Wkwkwk.. Cebong ..Cebong.. Sebaliknya,  buat kubu kaum got,  yang dibahas cuma Jakarta melulu..  ",0,0,0,1,0,0,0
1178,"Penuhi hati ini dengan rasa cintamu, agar tak ada ruang lagi, buat yang lain.",0,0,0,0,1,0,0
3670,"dearyou walaupun aku selalu jadi pihak yang DISAKITIN, aku ga kapok juga kok sayang sama kamu :)",0,0,0,0,1,0,0
4033,"Kangen kamu, kamu senyummu, kangen kebiasaanmu. Kangen kebersamaan kita yang sederhana tetapi mampu membuat kita bahagia ​​​",0,0,0,0,1,0,0
2514,"Aku tak tahu apa yang terjadi sebenarnya""tetapi""hatiku merasakan sakit yang begitu:"")",0,0,0,0,0,1,0
3448,Ini beneran gaada yang diciduk? Sepi amat gaada kabar #Dispacth,0,0,0,0,0,1,0
574,rindu yang paling berat ialah merindukan seseorang yang telah  tiada di bumi ini,0,0,0,0,0,1,0
2295,Semoga yang baik baik didekatkan yang jahat dijauh kan yang belom sadar disadar kan,0,0,0,1,0,0,0
134,"yang rumahnya kena banjir, hati-hati ya. jangan ampe ada ular kobra nyelonong. tetap waspada.",0,0,1,0,0,0,0
3216,"dek, yang candy candyy, ku suka, ku mau~",0,0,0,0,1,0,0
2071,Dia sampe bilang ke Kencana kalau ada yang nonton anime atau aneh2 itu gue tandanya. KWKEKFKKWKDKF. )),0,0,0,1,0,0,0
3724,"Saya kira saya sudah yang tercepat dan terpintar, tapi ternyata....ah sudah lah.",0,0,0,0,0,1,0
333,Semangat baru di tahun yang kabisat ini kawan kawan!,0,0,0,1,0,0,0
135,"semoga sehat selalu, panjang umur dan mudah rezeki untuk semua relawan yang sedang bertugas.",0,0,0,1,0,0,0
2364,"Permulaan yg kurang baik. Moga2 perjalanan kami seterusnya, yang paling baik in shaa Allah",0,0,0,1,0,0,0
3142,Sampai jumpa liburan yang akan datang. Semoga bisa liburan. See you. Semangat baru. Sok kabeeeh ,0,0,0,1,0,0,0
2480,Semoga di tahun ini kenyataan2 sesuai dengan apa yang di harapkan.,0,0,0,1,0,0,0
1548,"Okay, nak hantar anis masuk asrama f1, aku yang nangis. Hmmmmmmmmmmmmmmmmmmm.",0,0,0,0,0,1,0
1860,"""Aku selalu ingin bersyukur. Selalu diberi kasih yang banyak oleh sekitarku."" - bisma karisma",0,0,0,1,1,0,0
1017,"Be safe everyone yang kena banjir, mudah2 an hujan cpet berhenti ya",0,0,0,0,0,1,0
2160,"Apa yang salah, kalau dua agama mempertemukan dua orang yang saling mencintai???",1,0,0,0,0,0,0
4200,"Gila baca walk of tubi part 2 bikin geleng2 kepala. Setan kalo ketemu mereka, setan yang takut.",0,0,0,0,1,0,0
27,"Hanya karena kamu telah dapatkan cintanya, tak berarti kamu berhenti melakukan hal yang kamu lakukan ketika berusaha dapatkannya.",0,0,0,0,1,0,0
683,Semoga kakak bisa dapet kerjaan yang sesuai dengan keinginan kakak dan semoga betah kerjanya aamiin,0,0,0,1,0,0,0
2781,siapa yang bagun2 liat sekitar udah jadi arena waterboom alias banjirr????? bukan akuuuuuu!!,1,0,0,0,0,0,0
2232,2020 diawali dengan ditelponin keluarga yang nanyain kena banjir apa ngga. Alhamdulillah keluarga emang tempat pulang terbaik selain Allah ,0,0,0,1,0,0,0
24,Ya Allah berikanlah rizki halal seperti hujan yang tak putus-putus dipergantian tahun ini. Amin.,0,0,0,1,1,0,0
2533,"Terkadang, patah hati itu seperti cermin yang pecah - lebih melukai jika Anda berupaya memperbaikinya.",0,0,0,0,0,1,0
3882,"makasi kak pirda, moga masuk ptn yang diinginkan !",0,0,0,1,0,0,0
1404,"Stay safe untuk yang terkena banjir , semoga lekas surut ",0,0,0,0,0,1,0
181,Semoga di 2020 awal berita yang baik amin yarabb :)),0,0,0,1,0,0,0
1799,"Mengapa selalu aku yang mengalah... tak pernahkah kau berpikir, sedikit tentang hatiku... Paringano sabar ya Allah... ",0,0,0,0,0,1,0
782,"Kasihan si A. Andai ada yang kek gitu sama ak, bakalan terhura bet aku :""",0,0,0,0,0,1,0
2724,hargai apapun yang anda miliki namun jangan biarkan yang tak berarti membuat anda kehilangan sesuatu yang berarti.,0,0,0,0,0,1,0
2897,"Oh yang ini, Alif, happy new year ya. Semoga semogi.. *bow*",0,0,0,1,0,0,0
157,Kenapasih seneng bgt kalo liat eun jiwon senyum/ketawa hahaha kayak yang jarang gitu loh liat dia gitu ,0,0,0,1,0,0,0
532,Mutualku yang kebnjiran stay safe yaa.. semoga banjirnya cepet surut..,0,0,0,0,0,1,0
836,"Rindu itu kamu, seseorang yang tak mampu kusentuh dengan tangan, namun dapat kutemani dalam asa dan impian",0,0,0,0,1,0,0
911,Semoga di tahun ini menjadi tahun yang bisa membanggakan dan berkesan ,0,0,0,1,0,0,0
1091,ujannya awet sampe skrg semoga awal yang berkah buat 2020,0,0,0,1,0,0,0
2407,"Jika hal yang membuatku kuat adalah cinta, maka cinta terkuatku adalah kamu. love you more R_besar",0,0,0,1,1,0,0
1596,Ganteng banget huhu. Literally tuh ganteng yang bener-bener ganteng huhu.,0,0,0,0,1,0,0
3271,Mereka yang membalik tangan mereka terhadap rekan-rekan mereka pasti akan mengalami kematian yang mengerikan (Uchiha Itachi),0,1,0,0,0,0,0
3602,Yang kena banjir stay safe yaaa! Cari tempat yang amannn ,0,0,1,0,0,1,0
3763,Ya allah terimakasih engkau telah mempertemukan ku dengan orang yang bisa menerima segala kekuranganku . Amin ,0,0,0,1,0,0,0
1628,Stay safe bagi yang terkena banjir... Semoga segera surut airnya,0,0,0,0,0,1,0
10,Semuanya yang terkena #Banjir please stay safe ya kalian,0,0,0,0,0,1,0
2991,"Jika kamu merasa sedih, tenang ada aku disini, yang siap membuatmu tertawa kembali. :)",0,0,0,0,1,0,0
597,yak.... aku suka banget sama foto itu yang kiri hahahahahaha kenapa punyamu keliatan hd sih ;;,0,0,0,0,1,0,0
3329,"Siapa yang gatau lu lagi sedihh, lu kan sedih terus :( hm hm hmm",0,0,0,0,0,1,0
748,"Anda selalu bebas mengubah pemikiran anda dan memiliki masa depan yang berbeda, atau masa lalu yang berbeda",0,0,0,0,1,0,0
4055,OMG kaget banget liat video-video banjir di Ciledug Indah. Semoga cepat surut ya yang terkena banjir,0,0,1,0,0,1,0
1608,Doa terbaik untuk hal yang baik di tahun 2020!,0,0,0,1,0,0,0
2649,"Semoga dengan awalnya 2020 yang bahagia, kedepannya akan jauh lebih baik dibanding tahun sebelumnya",0,0,0,1,0,0,0
3588,"kok ada ya, yang gak punya malu sedikitpun spt itu ??",0,1,0,0,0,0,1
1355,Selamat tahun baru.  yang sudah terjadi ya dievaluasi agar tidak terulang dan bisa lebih baik di tahun ini.,0,0,0,1,0,0,0
1909,"yang di daerahnya lg kena banjir, stay safe guys! ",0,0,0,0,0,1,0
2187,Stay safe buat yang terkena bencana banjir hari ini. Parah emang ujan dari semalem gak kelar kelar,0,0,0,0,0,1,0
3292,"Allah itu dekat, bahkan lebih dekat dari apa saja yang bisa engkau lihat #jokowi2periode #2019tetapjokowi",0,0,0,0,1,0,0
800,Staysafe buat kalian di daerah yang terkena banjir. Hati-hati banyak cobra,0,0,0,0,0,1,0
3070,ko pemikirannya mentok ke negatif nya aja sih ? hujan besar juga kasihan yang kebanjiran cuk,0,0,1,0,0,0,0
3809,semoga 1 masalah ini yang kebawa sampe 2020 cepet selesai,0,0,0,1,0,0,0
2482,Yogyakarta selalu punya cerita yang istimewa. Happy landing  Deva dan selamat tahun baru 2020,0,0,0,0,1,0,0
1166,Aku benci menganggap enteng apapun tugas yang diberikan. -Gildarts (Fairy Tail),0,1,0,0,0,0,0
348,"Ikhlas menerima kesalahan, dan belajar dar setiap kesalahan, karena itu yang akan menjadikanmu kuat dalam menjalani kehidupan.",0,0,0,0,0,1,0
897,Wah w aja yang nge chat juga bosen kalo tiap hari awkwkwkwkwkwk kok u bisa gak bosen,0,1,0,0,0,0,0
3225,Sedih nya ttuu aku ga punya mutualan anak 2vvish  ga ada yang mau angkut aku gituu #2020x2wish,0,0,0,0,0,1,0
3779,"2019 banyak moment yang paling manis, semanis senyum kamu",0,0,0,0,1,0,0
2698,@tyaaAR_ untung kito sering saling mengedukasi teman2 yang polos agar tak terlalu goblok ya mut hahahahhahahhaha,0,0,0,1,0,0,0
3867,"1 Januari 2020, selamat pagi dari Bandung yang lagi gerimis ",0,0,0,1,0,0,0
3384,Hai sobat hai kawan sambut lah kami datang membangunkan semangat yang dulu pernah hilang  #youmant!!,0,0,0,1,0,0,0
1510,"Happy new year mutuall. semoga 2020 menjadi tahun yang bersahabat, ya.",0,0,0,1,0,0,0
4173,Semoga di 2020 bisa dapet temen yang baik baik dan gasuka buat drama aja. Aamiin,0,0,0,1,0,0,0
1730,"Ini gw beneran simpati sama yang kena banjir. Hati-hati kalian, semoga cepet surut ya airnya.",0,0,0,0,0,1,0
1974,"Happy new year juga, bang Natnat. Semoga menjadi manusia yang lebih baik lagi di tahun ini ",0,0,0,1,0,0,0
1518,alhamdulillah aman. jiejie aman kan? jkt doang yang banjir ya kayaknyaa,0,0,0,0,0,1,0
346,Happy new year! Semoga 2020 bisa jadi tahun yang baik dan memuaskan. Semangat terus ya nulisnya,0,0,0,1,0,0,0
2027,Loe yang dongok...  Bangsat lagi....!!!,1,0,0,0,0,0,0
1309,benci bgt kalo gw denger org yang bawel ngatur ngatur,0,1,0,0,0,0,0
4141,"Ada banyak orang yang cukup kuat untuk tidak mengungkapkan perasaan rindunya, mereka lebih memilih untuk memendam.",0,0,0,0,0,1,0
1153,"gatau aku wkwk, dari lahir rambutnya udah tebel.. orang orang juga banyak yang pada mau rambut kayak aku",0,0,0,1,0,0,0
2474,"Saat melihat pertunjukan dari murid yang lebih tua, aku sangat kagum. - Miiko",0,0,0,0,1,0,0
2675,Jangan lupa hapus chat-chatan 2019 yg buat down atau menyakitkan. Bangkit udah bangkit buka lembaran baru yang lebih enJhOOOOoyyy~,0,0,0,1,0,0,0
52,"stay safe temen2 yang kena banjir,hati hati selalu",0,0,0,0,0,1,0
295,"Lo lo pada ga ada kerjaan apa selain ngurusin bxb? Ngapain kek, yang agak guna sedikit gitu.",0,1,0,0,0,0,0
3163,"karena Tuhanlah yang memberikan hikmat,dari mulutnya datang pengetahuan dan kepandaian(ams 2:6)",0,0,0,1,1,0,0
1916,2020 ayok kita menjadi sahabat. Mengarah pada kebaikan2 mana yang akan menjadikan ku manusia. Selamat tahun baru semua ,0,0,0,1,0,0,0
3029,Apanya yang si itu gitu begitu????,0,0,0,0,0,0,1
1775,Terimakasih! Semoga semakin di kuattin tulang dan hatinya di tahun yang baru.,0,0,0,1,0,0,0
